1,00111161,0001104,Director
2,00068646,0000338,Director
3,00468569,0634240,Director
4,00050083,0001486,Director
5,00108052,0000229,Director
6,00167260,0001392,Director
7,00110912,0000233,Director
8,00060196,0001466,Director
9,00109830,0000709,Director
10,00137523,0000399,Director
11,00080684,0449984,Director
12,00133093,0905154,Director
13,00133093,0905152,Director
14,00099685,0000217,Director
15,09362722,1690966,Director
16,09362722,5358492,Director
17,09362722,1042511,Director
18,00073486,0001232,Director
19,00038650,0001008,Director
20,00047478,0000041,Director
21,00102926,0001129,Director
22,00317248,0576987,Director
23,00317248,0526199,Director
24,00118799,0000905,Director
25,00076759,0000184,Director
26,00103064,0000116,Director
27,00245429,0594503,Director
28,00253474,0000591,Director
29,00054215,0000033,Director
30,06751668,0094435,Director
31,00172495,0000631,Director
32,00110357,0021249,Director
33,00110357,0591450,Director
34,00110413,0000108,Director
35,00120586,0443411,Director
36,02582802,3227090,Director
37,00114814,0001741,Director
38,00095327,0847223,Director
39,00034583,0002031,Director
40,00056058,0462030,Director
41,01675434,0619923,Director
42,01675434,0865918,Director
43,00027977,0000122,Director
44,00095765,0868153,Director
45,00910970,0004056,Director
46,00405094,0003697,Director
47,00043014,0000697,Director
48,00050825,0000040,Director
49,04154756,0751577,Director
50,04154756,0751648,Director
51,04633694,2130108,Director
52,04633694,0709056,Director
53,04633694,0745247,Director
54,00169547,0005222,Director
55,00364569,0661791,Director
56,02380307,0881279,Director
57,02380307,2937122,Director
58,00114709,0005124,Director
59,00082096,0000583,Director
60,00112573,0000154,Director
61,07286456,0680846,Director
62,00119217,0001814,Director
63,05311514,1396121,Director
64,01187043,0386246,Director
65,00045152,0002045,Director
66,00045152,0000037,Director
67,00180093,0004716,Director
68,08267604,1701024,Director
69,00091251,0459552,Director
70,00086190,0549658,Director
71,00338013,0327273,Director
72,02106476,0899121,Director
73,00056172,0000180,Director
74,00033467,0000080,Director
75,00022100,0000485,Director
76,00211915,0000466,Director
77,00086250,0000361,Director
78,01255953,0898288,Director
79,08503618,2371802,Director
80,00113277,0000520,Director
81,01049413,0230032,Director
82,01049413,0677037,Director
83,00056592,0612322,Director
84,00070735,0001351,Director
85,01832382,1410815,Director
86,00095016,0001532,Director
87,00119488,0000436,Director
88,00040522,0001120,Director
89,00208092,0005363,Director
90,00986264,0451148,Director
91,00986264,1244760,Director
92,00363163,0386570,Director
93,05074352,4318159,Director
94,01745960,2676052,Director
95,10272386,1725469,Director
96,06966692,0268380,Director
97,00042192,0000581,Director
98,00055031,0006452,Director
99,00120382,0001837,Director
100,00469494,0000759,Director
101,00457430,0868219,Director
102,00167404,0796117,Director
103,00105695,0000142,Director
104,00268978,0000165,Director
105,00040897,0001379,Director
106,00477348,0001053,Director
107,00477348,0001054,Director
108,00071853,0000416,Director
109,00071853,0001402,Director
110,00057115,0836328,Director
111,00084787,0000118,Director
112,00080678,0000186,Director
113,10872600,1218281,Director
114,00031381,0281808,Director
115,00031381,0002030,Director
116,00031381,0939992,Director
117,00434409,0574625,Director
118,01305806,0002728,Director
119,02096673,0215455,Director
120,05027774,1732981,Director
121,00117951,0000965,Director
122,01291584,0640334,Director
123,04729430,0655053,Director
124,04729430,3582089,Director
